2012-09-11 05:11:06 status half-installed libpciaccess0 0.12.1-2
2012-09-11 05:11:06 status unpacked libpciaccess0 0.12.1-2
2012-09-11 05:11:06 status unpacked libpciaccess0 0.12.1-2
2012-09-11 05:11:06 install libpcre3 <none> 8.12-3ubuntu2
2012-09-11 05:11:06 status half-installed libpcre3 8.12-3ubuntu2
2012-09-11 05:11:06 status unpacked libpcre3 8.12-3ubuntu2
2012-09-11 05:11:06 status unpacked libpcre3 8.12-3ubuntu2
2012-09-11 05:11:06 install libplymouth2 <none> 0.8.2-2ubuntu28
2012-09-11 05:11:06 status half-installed libplymouth2 0.8.2-2ubuntu28
2012-09-11 05:11:06 status unpacked libplymouth2 0.8.2-2ubuntu28
2012-09-11 05:11:06 status unpacked libplymouth2 0.8.2-2ubuntu28
2012-09-11 05:11:06 install libpng12-0 <none> 1.2.46-3ubuntu1
2012-09-11 05:11:06 status half-installed libpng12-0 1.2.46-3ubuntu1
2012-09-11 05:11:06 status unpacked libpng12-0 1.2.46-3ubuntu1
2012-09-11 05:11:06 status unpacked libpng12-0 1.2.46-3ubuntu1
2012-09-11 05:11:06 install libselinux1 <none> 2.0.98-1.1
2012-09-11 05:11:06 status half-installed libselinux1 2.0.98-1.1
2012-09-11 05:11:06 status unpacked libselinux1 2.0.98-1.1
2012-09-11 05:11:06 status unpacked libselinux1 2.0.98-1.1
2012-09-11 05:11:06 install libslang2 <none> 2.2.4-2ubuntu1
2012-09-11 05:11:06 status half-installed libslang2 2.2.4-2ubuntu1
2012-09-11 05:11:06 status unpacked libslang2 2.2.4-2ubuntu1
2012-09-11 05:11:06 status unpacked libslang2 2.2.4-2ubuntu1
2012-09-11 05:11:06 install libss2 <none> 1.41.14-1ubuntu3
2012-09-11 05:11:06 status half-installed libss2 1.41.14-1ubuntu3
2012-09-11 05:11:06 status unpacked libss2 1.41.14-1ubuntu3
2012-09-11 05:11:06 status unpacked libss2 1.41.14-1ubuntu3
2012-09-11 05:11:06 install libssl1.0.0 <none> 1.0.0e-2ubuntu4
2012-09-11 05:11:06 status half-installed libssl1.0.0 1.0.0e-2ubuntu4
2012-09-11 05:11:06 status unpacked libssl1.0.0 1.0.0e-2ubuntu4
2012-09-11 05:11:06 status unpacked libssl1.0.0 1.0.0e-2ubuntu4
2012-09-11 05:11:06 install libtinfo5 <none> 5.9-1ubuntu5
2012-09-11 05:11:06 status half-installed libtinfo5 5.9-1ubuntu5
2012-09-11 05:11:06 status unpacked libtinfo5 5.9-1ubuntu5
2012-09-11 05:11:06 status unpacked libtinfo5 5.9-1ubuntu5
2012-09-11 05:11:06 install libudev0 <none> 173-0ubuntu4
2012-09-11 05:11:06 status half-installed libudev0 173-0ubuntu4
2012-09-11 05:11:06 status unpacked libudev0 173-0ubuntu4
2012-09-11 05:11:06 status unpacked libudev0 173-0ubuntu4
2012-09-11 05:11:06 install libuuid1 <none> 2.19.1-2ubuntu3
2012-09-11 05:11:06 status half-installed libuuid1 2.19.1-2ubuntu3
2012-09-11 05:11:06 status unpacked libuuid1 2.19.1-2ubuntu3
2012-09-11 05:11:06 status unpacked libuuid1 2.19.1-2ubuntu3
2012-09-11 05:11:06 install locales <none> 2.13+git20110622-2
2012-09-11 05:11:06 status half-installed locales 2.13+git20110622-2
2012-09-11 05:11:07 status unpacked locales 2.13+git20110622-2
2012-09-11 05:11:07 status unpacked locales 2.13+git20110622-2
2012-09-11 05:11:07 install login <none> 1:4.1.4.2+svn3283-3ubuntu2
2012-09-11 05:11:07 status half-installed login 1:4.1.4.2+svn3283-3ubuntu2
2012-09-11 05:11:07 status unpacked login 1:4.1.4.2+svn3283-3ubuntu2
2012-09-11 05:11:07 status unpacked login 1:4.1.4.2+svn3283-3ubuntu2
2012-09-11 05:11:07 install lsb-base <none> 4.0-0ubuntu16
2012-09-11 05:11:07 status half-installed lsb-base 4.0-0ubuntu16
2012-09-11 05:11:07 status unpacked lsb-base 4.0-0ubuntu16
2012-09-11 05:11:07 status unpacked lsb-base 4.0-0ubuntu16
2012-09-11 05:11:07 install makedev <none> 2.3.1-89ubuntu1
2012-09-11 05:11:07 status half-installed makedev 2.3.1-89ubuntu1
2012-09-11 05:11:07 status unpacked makedev 2.3.1-89ubuntu1
2012-09-11 05:11:07 status unpacked makedev 2.3.1-89ubuntu1
2012-09-11 05:11:07 upgrade mawk 1.3.3-15ubuntu2 1.3.3-15ubuntu2
2012-09-11 05:11:07 status half-configured mawk 1.3.3-15ubuntu2
2012-09-11 05:11:07 status unpacked mawk 1.3.3-15ubuntu2
2012-09-11 05:11:07 status half-installed mawk 1.3.3-15ubuntu2
2012-09-11 05:11:07 status half-installed mawk 1.3.3-15ubuntu2
2012-09-11 05:11:07 status unpacked mawk 1.3.3-15ubuntu2
2012-09-11 05:11:07 status unpacked mawk 1.3.3-15ubuntu2
2012-09-11 05:11:07 install module-init-tools <none> 3.16-1ubuntu1
2012-09-11 05:11:07 status half-installed module-init-tools 3.16-1ubuntu1
2012-09-11 05:11:07 status unpacked module-init-tools 3.16-1ubuntu1
2012-09-11 05:11:07 status unpacked module-init-tools 3.16-1ubuntu1
2012-09-11 05:11:07 install mount <none> 2.19.1-2ubuntu3
2012-09-11 05:11:07 status half-installed mount 2.19.1-2ubuntu3
2012-09-11 05:11:07 status unpacked mount 2.19.1-2ubuntu3
2012-09-11 05:11:07 status unpacked mount 2.19.1-2ubuntu3
2012-09-11 05:11:07 install mountall <none> 2.31
2012-09-11 05:11:07 status half-installed mountall 2.31
2012-09-11 05:11:07 status unpacked mountall 2.31
2012-09-11 05:11:07 status unpacked mountall 2.31
2012-09-11 05:11:07 install multiarch-support <none> 2.13-20ubuntu5
2012-09-11 05:11:07 status half-installed multiarch-support 2.13-20ubuntu5
2012-09-11 05:11:07 status unpacked multiarch-support 2.13-20ubuntu5
2012-09-11 05:11:07 status unpacked multiarch-support 2.13-20ubuntu5
2012-09-11 05:11:07 install ncurses-base <none> 5.9-1ubuntu5
2012-09-11 05:11:07 status half-installed ncurses-base 5.9-1ubuntu5
2012-09-11 05:11:07 status unpacked ncurses-base 5.9-1ubuntu5
2012-09-11 05:11:07 status unpacked ncurses-base 5.9-1ubuntu5
2012-09-11 05:11:07 install ncurses-bin <none> 5.9-1ubuntu5
2012-09-11 05:11:07 status half-installed ncurses-bin 5.9-1ubuntu5
